L,O,1
1500.0,-6.27,-37.48
1500.01,-6.3,-37.49
1500.02,-6.35,-37.48
1500.03,-6.37,-37.37
1500.04,-6.35,-37.49
1500.05,-6.32,-37.5
1500.06,-6.34,-37.45
1500.07,-6.8,-37.29
1500.08,-7.39,-37.33
1500.09,-7.03,-37.33
1500.1,-6.75,-37.35
1500.11,-6.52,-37.39
1500.12,-6.4,-37.4
1500.13,-6.36,-37.4
1500.14,-6.35,-37.36
1500.15,-6.36,-37.38
1500.16,-6.36,-37.38
1500.17,-6.34,-37.35
1500.18,-6.33,-37.34
1500.19,-6.33,-37.35
1500.2,-6.32,-37.37
1500.21,-6.33,-37.38
1500.22,-6.32,-37.39
1500.23,-6.32,-37.38
1500.24,-6.32,-37.48
1500.25,-6.33,-37.48
1500.26,-6.3,-37.55
1500.27,-6.3,-37.47
1500.28,-6.3,-37.53
1500.29,-6.31,-37.49
1500.3,-6.32,-37.53
1500.31,-6.3,-37.57
1500.32,-6.29,-37.56
1500.33,-6.28,-37.61
1500.34,-6.3,-37.56
1500.35,-6.31,-37.61
1500.36,-6.33,-37.6
1500.37,-6.33,-37.57
1500.38,-6.3,-37.68
1500.39,-6.34,-37.64
1500.4,-6.62,-37.7
1500.41,-6.64,-37.8
1500.42,-6.62,-37.74
1500.43,-6.59,-37.76
1500.44,-6.55,-37.8
1500.45,-6.52,-37.8
1500.46,-6.49,-37.76
1500.47,-6.46,-37.78
1500.48,-6.43,-37.79
1500.49,-6.41,-37.79
1500.5,-6.37,-37.78
1500.51,-6.35,-37.8
1500.52,-6.31,-37.77
1500.53,-6.3,-37.77
1500.54,-6.26,-37.83
1500.55,-6.22,-37.79
1500.56,-6.17,-37.83
1500.57,-6.15,-37.84
1500.58,-6.11,-37.83
1500.59,-6.09,-37.85
1500.6,-6.09,-37.87
1500.61,-6.07,-37.91
1500.62,-6.07,-37.86
1500.63,-6.05,-37.87
1500.64,-6.06,-37.88
1500.65,-6.12,-37.94
1500.66,-6.22,-37.91
1500.67,-6.26,-37.94
1500.68,-6.25,-37.89
1500.69,-6.15,-37.97
1500.7,-6.02,-38.03
1500.71,-6.1,-37.94
1500.72,-6.17,-37.93
1500.73,-6.16,-37.98
1500.74,-6.04,-38.0
1500.75,-5.93,-38.02
1500.76,-5.81,-38.05
1500.77,-5.8,-38.0
1500.78,-5.8,-38.0
1500.79,-5.79,-38.01
1500.8,-5.8,-37.92
1500.81,-5.8,-37.96
1500.82,-5.86,-37.89
1500.83,-5.96,-37.84
1500.84,-6.05,-37.79
1500.85,-6.1,-37.81
1500.86,-6.15,-37.65
1500.87,-6.22,-37.79
1500.88,-6.27,-37.72
1500.89,-6.31,-37.71
1500.9,-6.33,-37.67
1500.91,-6.32,-37.69
1500.92,-6.34,-37.71
1500.93,-6.39,-37.71
1500.94,-6.44,-37.62
1500.95,-6.44,-37.63
1500.96,-6.41,-37.68
1500.97,-6.41,-37.62
1500.98,-6.46,-37.65
1500.99,-6.49,-37.57
1501.0,-6.47,-37.59
1501.01,-6.47,-37.55
1501.02,-6.46,-37.53
1501.03,-6.46,-37.59
1501.04,-6.51,-37.52
1501.05,-6.5,-37.48
1501.06,-6.46,-37.55
1501.07,-6.44,-37.47
1501.08,-6.43,-37.51
1501.09,-6.49,-37.38
1501.1,-6.52,-37.41
1501.11,-6.52,-37.37
1501.12,-6.53,-37.39
1501.13,-6.55,-37.39
1501.14,-6.56,-37.38
1501.15,-6.57,-37.38
1501.16,-6.55,-37.41
1501.17,-6.51,-37.4
1501.18,-6.5,-37.34
1501.19,-6.49,-37.37
1501.2,-6.47,-37.36
1501.21,-6.43,-37.38
1501.22,-6.38,-37.41
1501.23,-6.35,-37.34
1501.24,-6.33,-37.27
1501.25,-6.3,-37.25
1501.26,-6.26,-37.29
1501.27,-6.23,-37.16
1501.28,-6.19,-37.13
1501.29,-6.14,-37.23
1501.3,-6.16,-37.19
1501.31,-6.14,-37.18
1501.32,-6.11,-37.1
1501.33,-6.07,-37.17
1501.34,-6.01,-37.14
1501.35,-6.01,-37.13
1501.36,-6.01,-37.12
1501.37,-5.96,-37.15
1501.38,-5.95,-37.13
1501.39,-5.91,-37.15
1501.4,-5.88,-37.22
1501.41,-5.87,-37.22
1501.42,-5.87,-37.18
1501.43,-5.86,-37.23
1501.44,-5.78,-37.22
1501.45,-5.69,-37.18
1501.46,-5.63,-37.19
1501.47,-5.53,-37.21
1501.48,-5.39,-37.18
1501.49,-5.35,-37.14
1501.5,-5.32,-37.18
1501.51,-5.32,-37.12
1501.52,-5.38,-37.17
1501.53,-5.46,-37.22
1501.54,-5.55,-37.24
1501.55,-5.66,-37.25
1501.56,-5.9,-37.19
1501.57,-6.13,-37.17
1501.58,-6.28,-37.23
1501.59,-6.35,-37.14
1501.6,-6.41,-37.24
1501.61,-6.49,-37.31
1501.62,-6.55,-37.35
1501.63,-6.56,-37.33
1501.64,-6.53,-37.33
1501.65,-6.5,-37.33
1501.66,-6.5,-37.34
1501.67,-6.52,-37.35
1501.68,-6.54,-37.37
1501.69,-6.54,-37.37
1501.7,-6.51,-37.43
1501.71,-6.49,-37.48
1501.72,-6.49,-37.52
1501.73,-6.51,-37.47
1501.74,-6.51,-37.54
1501.75,-6.51,-37.57
1501.76,-6.51,-37.61
1501.77,-6.49,-37.66
1501.78,-6.48,-37.71
1501.79,-6.51,-37.68
1501.8,-6.5,-37.72
1501.81,-6.45,-37.72
1501.82,-6.42,-37.72
1501.83,-6.42,-37.69
1501.84,-6.39,-37.65
1501.85,-6.37,-37.7
1501.86,-6.37,-37.71
1501.87,-6.36,-37.68
1501.88,-6.35,-37.71
1501.89,-6.32,-37.77
1501.9,-6.32,-37.74
1501.91,-6.6,-37.7
1501.92,-6.65,-37.73
