L,O,1
1500.0,-9.68,-20.67
1500.01,-9.51,-20.58
1500.02,-9.35,-20.44
1500.03,-9.63,-20.46
1500.04,-9.87,-20.47
1500.05,-9.84,-20.48
1500.06,-9.56,-20.4
1500.07,-9.21,-20.39
1500.08,-9.3,-20.39
1500.09,-9.6,-20.47
1500.1,-9.65,-20.48
1500.11,-9.59,-20.47
1500.12,-9.34,-20.49
1500.13,-9.19,-20.45
1500.14,-9.24,-20.46
1500.15,-9.34,-20.53
1500.16,-9.36,-20.56
1500.17,-9.29,-20.59
1500.18,-9.17,-20.63
1500.19,-9.18,-20.65
1500.2,-9.22,-20.65
1500.21,-9.36,-20.81
1500.22,-9.91,-21.11
1500.23,-9.75,-21.2
1500.24,-9.6,-21.3
1500.25,-9.49,-21.39
1500.26,-9.4,-21.47
1500.27,-9.34,-21.63
1500.28,-9.27,-21.77
1500.29,-9.21,-21.93
1500.3,-9.14,-22.14
1500.31,-9.1,-22.25
1500.32,-9.08,-22.43
1500.33,-9.05,-22.64
1500.34,-9.01,-22.82
1500.35,-8.95,-23.06
1500.36,-8.9,-23.34
1500.37,-8.89,-23.62
1500.38,-8.89,-23.81
1500.39,-8.86,-24.11
1500.4,-8.82,-24.33
1500.41,-8.81,-24.61
1500.42,-8.81,-25.03
1500.43,-8.79,-25.3
1500.44,-8.79,-25.63
1500.45,-8.79,-25.99
1500.46,-8.82,-26.37
1500.47,-8.85,-26.8
1500.48,-8.74,-27.14
1500.49,-8.69,-27.56
1500.5,-8.67,-28.03
1500.51,-8.66,-28.41
1500.52,-8.67,-28.91
1500.53,-8.68,-29.48
1500.54,-8.69,-30.0
1500.55,-8.69,-30.6
1500.56,-8.7,-31.24
1500.57,-8.76,-31.83
1500.58,-8.82,-32.62
1500.59,-8.9,-33.21
1500.6,-8.97,-33.85
1500.61,-8.51,-33.82
1500.62,-7.68,-33.18
1500.63,-7.99,-33.82
1500.64,-8.42,-34.34
1500.65,-8.83,-34.89
1500.66,-9.18,-35.28
1500.67,-9.42,-35.59
1500.68,-9.53,-35.75
1500.69,-9.57,-35.79
1500.7,-9.58,-35.59
1500.71,-9.59,-35.23
1500.72,-9.64,-34.69
1500.73,-9.65,-34.15
1500.74,-9.63,-33.5
1500.75,-9.62,-32.87
1500.76,-9.63,-32.26
1500.77,-9.66,-31.61
1500.78,-9.71,-30.97
1500.79,-9.69,-30.42
1500.8,-9.65,-29.78
1500.81,-9.65,-29.27
1500.82,-9.67,-28.83
1500.83,-9.67,-28.33
1500.84,-9.64,-27.81
1500.85,-9.58,-27.41
1500.86,-9.55,-26.94
1500.87,-9.53,-26.55
1500.88,-9.56,-26.14
1500.89,-9.55,-25.72
1500.9,-9.47,-25.36
1500.91,-9.43,-25.06
1500.92,-9.44,-24.81
1500.93,-9.51,-24.46
1500.94,-9.45,-24.15
1500.95,-9.34,-23.87
1500.96,-9.29,-23.63
