L,O,1
1500.0,-9.29,-20.13
1500.01,-9.44,-20.11
1500.02,-9.6,-20.1
1500.03,-9.64,-20.09
1500.04,-9.47,-20.1
1500.05,-9.23,-20.09
1500.06,-9.38,-20.11
1500.07,-9.84,-20.18
1500.08,-9.84,-20.18
1500.09,-9.67,-20.18
1500.1,-9.35,-20.22
1500.11,-9.14,-20.17
1500.12,-9.42,-20.23
1500.13,-9.54,-20.21
1500.14,-9.47,-20.23
1500.15,-9.35,-20.25
1500.16,-9.25,-20.27
1500.17,-9.18,-20.29
1500.18,-9.62,-20.28
1500.19,-9.79,-20.26
1500.2,-9.64,-20.24
1500.21,-9.52,-20.19
1500.22,-9.44,-20.16
1500.23,-9.36,-20.16
1500.24,-9.31,-20.11
1500.25,-9.26,-20.11
1500.26,-9.21,-20.12
1500.27,-9.17,-20.07
1500.28,-9.11,-20.06
1500.29,-9.08,-20.07
1500.3,-9.05,-20.06
1500.31,-9.04,-20.08
1500.32,-8.96,-20.14
1500.33,-9.03,-20.13
1500.34,-8.68,-20.14
1500.35,-8.42,-20.17
1500.36,-8.39,-20.15
1500.37,-8.35,-20.19
1500.38,-8.2,-20.22
1500.39,-8.11,-20.23
1500.4,-8.13,-20.25
1500.41,-8.17,-20.28
1500.42,-8.2,-20.31
1500.43,-8.26,-20.29
1500.44,-8.28,-20.31
1500.45,-8.32,-20.28
1500.46,-8.41,-20.28
1500.47,-8.46,-20.29
1500.48,-8.52,-20.23
1500.49,-8.57,-20.2
1500.5,-8.65,-20.21
1500.51,-8.74,-20.18
1500.52,-8.83,-20.12
1500.53,-8.91,-20.13
1500.54,-8.97,-20.1
1500.55,-9.05,-20.07
1500.56,-9.12,-20.09
1500.57,-9.21,-20.05
1500.58,-9.27,-20.02
1500.59,-9.31,-20.07
1500.6,-9.35,-20.06
1500.61,-9.42,-20.09
1500.62,-9.49,-20.12
1500.63,-9.54,-20.11
1500.64,-9.56,-20.11
1500.65,-9.56,-20.13
1500.66,-9.59,-20.13
1500.67,-9.63,-20.13
1500.68,-9.67,-20.16
1500.69,-9.65,-20.15
1500.7,-9.61,-20.17
1500.71,-9.58,-20.19
1500.72,-9.59,-20.19
1500.73,-9.63,-20.17
1500.74,-9.64,-20.2
1500.75,-9.63,-20.16
1500.76,-9.61,-20.15
1500.77,-9.61,-20.16
1500.78,-9.65,-20.14
1500.79,-9.65,-20.14
1500.8,-9.63,-20.14
1500.81,-9.58,-20.12
1500.82,-9.6,-20.13
1500.83,-9.6,-20.11
1500.84,-9.58,-20.08
1500.85,-9.55,-20.1
1500.86,-9.5,-20.07
1500.87,-9.49,-20.04
1500.88,-9.51,-20.08
1500.89,-9.49,-20.1
1500.9,-9.43,-20.04
1500.91,-9.38,-20.04
1500.92,-9.36,-20.04
1500.93,-9.52,-20.07
1500.94,-9.55,-20.08
1500.95,-9.35,-20.08
1500.96,-9.21,-20.08
1500.97,-9.19,-20.11
1500.98,-9.25,-20.16
1500.99,-9.99,-20.21
1501.0,-9.97,-20.23
1501.01,-9.85,-20.26
1501.02,-9.73,-20.21
1501.03,-9.61,-20.2
1501.04,-9.5,-20.19
1501.05,-9.43,-20.16
1501.06,-9.36,-20.17
1501.07,-9.31,-20.16
1501.08,-9.23,-20.09
1501.09,-9.16,-20.08
1501.1,-9.11,-20.07
1501.11,-9.08,-20.03
1501.12,-9.03,-20.03
1501.13,-8.98,-20.04
1501.14,-8.91,-20.01
1501.15,-8.91,-20.02
1501.16,-8.92,-20.03
1501.17,-8.89,-20.03
1501.18,-8.88,-20.05
1501.19,-8.85,-20.09
1501.2,-8.84,-20.1
1501.21,-8.88,-20.13
1501.22,-8.89,-20.16
1501.23,-8.81,-20.22
1501.24,-8.72,-20.22
1501.25,-8.77,-20.19
1501.26,-8.83,-20.18
1501.27,-8.85,-20.14
1501.28,-8.86,-20.1
1501.29,-8.56,-20.1
