L,O,1
1500.0,-9.31,-48.3
1500.01,-9.15,-48.55
1500.02,-9.13,-48.48
1500.03,-9.45,-48.13
1500.04,-9.97,-47.54
1500.05,-9.79,-47.75
1500.06,-9.66,-47.84
1500.07,-9.54,-47.96
1500.08,-9.43,-48.09
1500.09,-9.36,-48.18
1500.1,-9.31,-48.24
1500.11,-9.23,-48.27
1500.12,-9.19,-48.37
1500.13,-9.14,-48.39
1500.14,-9.1,-48.47
1500.15,-9.05,-48.59
1500.16,-9.02,-48.56
1500.17,-9.0,-48.62
1500.18,-8.99,-48.55
1500.19,-9.03,-48.6
1500.2,-9.05,-48.5
1500.21,-9.0,-48.64
1500.22,-8.99,-48.56
1500.23,-8.97,-48.6
1500.24,-9.29,-48.28
1500.25,-9.24,-48.36
1500.26,-8.98,-48.58
1500.27,-8.72,-48.93
1500.28,-8.76,-48.89
1500.29,-8.78,-48.89
1500.3,-8.82,-48.92
1500.31,-8.81,-48.8
1500.32,-8.76,-48.85
1500.33,-8.77,-48.87
1500.34,-8.77,-48.9
1500.35,-8.77,-48.93
1500.36,-8.77,-48.94
1500.37,-8.76,-49.17
1500.38,-8.78,-49.05
1500.39,-8.81,-48.87
1500.4,-8.84,-48.86
1500.41,-8.89,-48.8
1500.42,-8.9,-48.79
1500.43,-8.96,-48.74
1500.44,-9.03,-48.67
1500.45,-9.09,-48.72
1500.46,-9.15,-48.59
1500.47,-8.17,-49.57
1500.48,-7.83,-50.15
1500.49,-8.18,-49.84
1500.5,-8.53,-49.34
1500.51,-8.89,-49.09
1500.52,-9.17,-48.66
1500.53,-9.43,-48.38
1500.54,-9.58,-48.27
1500.55,-9.62,-48.31
1500.56,-9.65,-48.28
1500.57,-9.65,-48.14
1500.58,-9.69,-48.02
1500.59,-9.72,-48.04
1500.6,-9.72,-47.98
1500.61,-9.69,-48.05
1500.62,-9.66,-48.03
1500.63,-9.63,-48.04
1500.64,-9.66,-48.06
1500.65,-9.68,-47.99
1500.66,-9.65,-47.89
1500.67,-9.61,-48.02
1500.68,-9.57,-48.04
1500.69,-9.54,-48.13
1500.7,-9.54,-48.09
1500.71,-9.52,-48.05
1500.72,-9.5,-48.1
1500.73,-9.46,-48.16
1500.74,-9.44,-48.13
1500.75,-9.42,-48.2
1500.76,-9.38,-48.22
1500.77,-9.37,-48.29
1500.78,-9.38,-48.19
1500.79,-9.5,-48.17
1500.8,-9.43,-48.2
1500.81,-9.31,-48.31
1500.82,-9.24,-48.4
1500.83,-9.33,-48.23
1500.84,-9.99,-47.53
