Time(s),ct400.detectors.P_detector1(dBm)
503.0410747528076,-27.893
503.257479429245,-27.698
503.47426438331604,-27.636
503.69097208976746,-27.657
503.907674074173,-27.534
504.1242575645447,-27.41
504.3409779071808,-27.328
504.5577039718628,-27.431
504.77421379089355,-27.472
504.9909915924072,-27.575
505.2076668739319,-27.41
505.4241807460785,-27.534
505.6408429145813,-27.534
505.8575258255005,-27.575
506.07427978515625,-27.41
506.29097962379456,-27.328
506.50799083709717,-27.226
506.72424602508545,-27.369
506.9409830570221,-27.287
507.15770983695984,-27.349
507.37432289123535,-27.369
507.5909879207611,-27.307
507.80754590034485,-27.307
508.0241267681122,-27.307
508.2409837245941,-27.369
508.4576668739319,-27.41
508.67431259155273,-27.39
508.89091777801514,-27.39
509.107547044754,-27.41
509.3242611885071,-27.451
509.5408914089203,-27.575
509.757609128952,-27.554
509.97432374954224,-27.554
510.19098806381226,-27.451
510.4076142311096,-27.41
510.6242835521698,-27.451
510.84100103378296,-27.493
511.05771923065186,-27.493
511.2741467952728,-27.513
511.4909346103668,-27.493
511.70763206481934,-27.369
511.9242732524872,-27.266
512.140969991684,-27.307
512.3577330112457,-27.328
512.5743126869202,-27.39
512.7909421920776,-27.349
513.0080895423889,-27.349
513.2247333526611,-27.451
513.4410469532013,-27.41
513.6581325531006,-27.287
513.8743717670441,-27.41
514.0909240245819,-27.554
514.3077251911163,-27.554
514.5247678756714,-27.657
514.7409369945526,-27.616
514.9576621055603,-27.554
515.1742825508118,-27.595
515.3909647464752,-27.657
515.6076769828796,-27.575
515.8243851661682,-27.534
516.0409495830536,-27.513
516.2577202320099,-27.554
516.4741609096527,-27.616
516.6909561157227,-27.493
516.9077317714691,-27.39
517.1243169307709,-27.41
517.3409278392792,-27.369
517.5576605796814,-27.451
517.7747659683228,-27.451
517.990972995758,-27.616
518.2081277370453,-27.678
518.4243476390839,-27.698
518.640997171402,-27.76
518.8576607704163,-27.78
519.0743346214294,-27.719
519.2911431789398,-27.739
519.507698059082,-27.719
519.7248136997223,-27.678
519.9410123825073,-27.719
520.1576552391052,-27.616
520.374324798584,-27.874
520.5909702777863,-27.856
520.8077199459076,-27.874
521.024689912796,-27.893
521.2409839630127,-27.912
521.4410190582275,-27.912
521.6409647464752,-28.044
521.8576855659485,-28.1
522.0747928619385,-28.232
522.291069984436,-28.328
522.5076851844788,-28.328
522.7247574329376,-28.251
522.9409685134888,-28.232
523.1577303409576,-28.232
523.374324798584,-28.194
523.5910747051239,-28.194
523.8076324462891,-28.368
524.0246806144714,-28.566
524.2410843372345,-28.388
524.4410943984985,-28.546
524.6577832698822,-28.645
524.8743405342102,-28.606
525.0909159183502,-28.407
525.3076672554016,-28.586
525.5247085094452,-28.745
525.7410628795624,-28.804
525.9576942920685,-28.844
526.1743352413177,-29.304
526.3910007476807,-29.782
526.60902094841,-30.032
526.8248164653778,-30.379
527.0409617424011,-30.302
527.2581634521484,-31.881
527.4744102954865,-31.138
527.6909735202789,-31.222
527.907662153244,-31.263
528.1243462562561,-32.304
528.3410789966583,-32.394
528.5577554702759,-32.394
528.7747025489807,-32.376
528.9909417629242,-32.77
529.2077486515045,-33.441
529.4243588447571,-33.589
529.6409642696381,-33.607
529.8577258586884,-33.792
530.074348449707,-34.193
530.2908527851105,-34.109
530.5077590942383,-34.003
530.7243838310242,-34.214
530.9410688877106,-34.151
531.157705783844,-34.214
531.3743538856506,-34.193
531.5910186767578,-34.235
531.8077549934387,-34.088
532.0246105194092,-34.256
532.2410089969635,-33.835
532.4577417373657,-33.7
532.6743035316467,-33.403
532.8909661769867,-33.515
533.1076390743256,-33.145
533.3247780799866,-32.304
533.5409963130951,-31.18
533.7577471733093,-30.824
533.9743826389313,-30.34
534.1910190582275,-29.898
534.4077289104462,-29.975
534.6243448257446,-29.304
534.8410222530365,-29.164
535.0577127933502,-28.824
535.2743227481842,-28.606
535.4910573959351,-28.844
535.7076654434204,-28.824
535.9243774414062,-28.507
536.1410222053528,-28.368
536.3576877117157,-28.407
536.5743999481201,-28.27
536.7914822101593,-28.081
537.0191259384155,-27.874
537.2243375778198,-27.912
537.4410080909729,-27.95
537.6580989360809,-27.76
537.8744118213654,-27.76
538.0908827781677,-27.719
538.3077383041382,-27.636
538.5242600440979,-27.575
538.7409145832062,-27.534
538.9577126502991,-27.534
539.1743886470795,-27.451
539.3910889625549,-27.472
539.6077897548676,-27.431
539.8243708610535,-27.369
540.0434432029724,-27.369
540.2578015327454,-27.287
540.4743638038635,-27.226
540.6910462379456,-27.206
540.9077234268188,-27.126
541.1244344711304,-27.066
541.3443982601166,-27.146
541.5576295852661,-27.266
541.7743752002716,-27.307
541.9909853935242,-27.287
542.208066701889,-27.246
542.4243950843811,-27.266
542.6411094665527,-27.39
542.8577737808228,-27.472
543.0743970870972,-27.616
543.2914588451385,-27.636
543.5076928138733,-27.554
