L,O,1
1500.0,-9.1,-19.34
1500.01,-9.08,-19.34
1500.02,-9.05,-19.38
1500.03,-9.02,-19.35
1500.04,-8.99,-19.36
1500.05,-8.97,-19.36
1500.06,-8.96,-19.34
1500.07,-8.94,-19.31
1500.08,-8.91,-19.34
1500.09,-8.9,-19.32
1500.1,-8.89,-19.3
1500.11,-8.89,-19.31
1500.12,-8.89,-19.3
1500.13,-8.89,-19.28
1500.14,-8.91,-19.3
1500.15,-8.92,-19.28
1500.16,-8.96,-19.27
1500.17,-8.96,-19.27
1500.18,-8.99,-19.27
1500.19,-9.02,-19.23
1500.2,-8.96,-19.29
1500.21,-8.28,-19.28
1500.22,-8.22,-19.27
1500.23,-8.37,-19.21
1500.24,-8.47,-19.25
1500.25,-8.57,-19.25
1500.26,-8.63,-19.24
1500.27,-8.71,-19.27
1500.28,-8.8,-19.25
1500.29,-8.88,-19.23
1500.3,-8.91,-19.28
1500.31,-8.96,-19.27
1500.32,-9.02,-19.28
1500.33,-9.08,-19.34
1500.34,-9.12,-19.32
1500.35,-9.15,-19.33
1500.36,-9.2,-19.38
1500.37,-9.26,-19.33
1500.38,-9.32,-19.32
1500.39,-9.37,-19.35
1500.4,-9.38,-19.31
1500.41,-9.41,-19.31
1500.42,-9.47,-19.34
1500.43,-9.55,-19.33
1500.44,-9.58,-19.34
1500.45,-9.57,-19.35
1500.46,-9.58,-19.35
1500.47,-9.63,-19.31
1500.48,-9.7,-19.31
1500.49,-9.72,-19.32
1500.5,-9.72,-19.27
1500.51,-9.67,-19.31
1500.52,-9.68,-19.29
1500.53,-9.73,-19.28
1500.54,-9.76,-19.3
1500.55,-9.76,-19.28
1500.56,-9.71,-19.26
1500.57,-9.65,-19.3
1500.58,-9.63,-19.27
1500.59,-9.63,-19.28
1500.6,-9.63,-19.3
1500.61,-9.6,-19.29
1500.62,-9.55,-19.3
1500.63,-9.51,-19.32
1500.64,-9.49,-19.32
1500.65,-9.48,-19.33
1500.66,-9.49,-19.32
1500.67,-9.45,-19.34
1500.68,-9.43,-19.32
1500.69,-9.38,-19.35
1500.7,-9.37,-19.29
1500.71,-9.37,-19.3
1500.72,-9.34,-19.34
1500.73,-9.32,-19.34
1500.74,-9.27,-19.3
1500.75,-9.24,-19.31
1500.76,-9.2,-19.28
1500.77,-9.18,-19.29
1500.78,-9.17,-19.26
1500.79,-9.14,-19.27
1500.8,-9.11,-19.23
1500.81,-9.16,-19.25
1500.82,-9.19,-19.24
1500.83,-9.16,-19.25
1500.84,-9.11,-19.22
1500.85,-9.01,-19.2
1500.86,-8.97,-19.2
1500.87,-8.63,-19.19
1500.88,-8.17,-19.2
1500.89,-8.14,-19.19
1500.9,-8.12,-19.2
1500.91,-8.04,-19.21
1500.92,-7.98,-19.16
1500.93,-8.03,-19.21
1500.94,-8.07,-19.21
1500.95,-8.1,-19.21
1500.96,-8.11,-19.25
1500.97,-8.18,-19.27
1500.98,-8.24,-19.25
1500.99,-8.31,-19.27
1501.0,-8.35,-19.25
1501.01,-8.4,-19.23
1501.02,-8.47,-19.26
1501.03,-8.56,-19.24
1501.04,-8.66,-19.22
1501.05,-8.7,-19.26
1501.06,-8.77,-19.25
1501.07,-8.86,-19.24
1501.08,-8.95,-19.26
1501.09,-9.05,-19.26
1501.1,-9.11,-19.22
1501.11,-9.17,-19.24
1501.12,-9.27,-19.24
1501.13,-9.37,-19.21
1501.14,-9.44,-19.24
1501.15,-9.48,-19.25
1501.16,-9.5,-19.23
1501.17,-9.56,-19.24
1501.18,-9.64,-19.27
1501.19,-9.72,-19.2
1501.2,-9.68,-19.21
1501.21,-9.66,-19.17
1501.22,-9.65,-19.18
1501.23,-9.75,-19.2
1501.24,-9.82,-19.22
1501.25,-9.8,-19.22
1501.26,-9.77,-19.24
1501.27,-9.72,-19.25
1501.28,-9.76,-19.22
1501.29,-9.8,-19.25
1501.3,-9.81,-19.26
1501.31,-9.74,-19.26
1501.32,-9.67,-19.28
1501.33,-9.66,-19.31
1501.34,-9.69,-19.3
1501.35,-9.72,-19.3
1501.36,-9.66,-19.33
1501.37,-9.6,-19.29
1501.38,-9.52,-19.32
1501.39,-9.51,-19.31
1501.4,-9.52,-19.27
1501.41,-9.52,-19.33
1501.42,-9.46,-19.31
1501.43,-9.4,-19.28
1501.44,-9.36,-19.29
1501.45,-9.46,-19.27
1501.46,-9.86,-19.22
1501.47,-10.09,-19.19
1501.48,-9.96,-19.21
1501.49,-9.78,-19.21
1501.5,-9.68,-19.2
1501.51,-9.59,-19.2
1501.52,-9.52,-19.14
1501.53,-9.47,-19.16
1501.54,-9.41,-19.14
1501.55,-9.36,-19.13
1501.56,-9.29,-19.15
1501.57,-9.22,-19.17
1501.58,-9.17,-19.11
1501.59,-9.13,-19.19
1501.6,-9.09,-19.2
1501.61,-9.01,-19.19
1501.62,-8.93,-19.18
1501.63,-8.86,-19.17
1501.64,-8.78,-19.16
1501.65,-8.7,-19.15
1501.66,-8.62,-19.14
1501.67,-8.4,-19.18
1501.68,-8.36,-19.16
1501.69,-8.38,-19.17
1501.7,-8.36,-19.17
1501.71,-8.17,-19.17
1501.72,-8.13,-19.22
1501.73,-8.18,-19.19
1501.74,-8.19,-19.19
1501.75,-8.25,-19.18
1501.76,-8.28,-19.17
1501.77,-8.32,-19.16
1501.78,-8.35,-19.16
1501.79,-8.39,-19.17
1501.8,-8.44,-19.15
1501.81,-8.49,-19.15
1501.82,-8.54,-19.16
1501.83,-8.57,-19.13
1501.84,-8.58,-19.13
1501.85,-8.59,-19.13
1501.86,-8.6,-19.12
1501.87,-8.62,-19.12
1501.88,-8.67,-19.12
1501.89,-8.74,-19.12
1501.9,-8.8,-19.09
1501.91,-8.87,-19.11
1501.92,-8.94,-19.13
1501.93,-9.02,-19.12
1501.94,-9.11,-19.17
1501.95,-9.2,-19.13
1501.96,-9.29,-19.13
1501.97,-9.38,-19.14
1501.98,-9.43,-19.16
1501.99,-9.49,-19.16
1502.0,-9.58,-19.18
1502.01,-9.62,-19.18
1502.02,-9.69,-19.2
1502.03,-9.72,-19.23
1502.04,-9.74,-19.18
1502.05,-9.74,-19.19
1502.06,-9.76,-19.19
1502.07,-9.78,-19.18
1502.08,-9.79,-19.18
1502.09,-9.79,-19.21
1502.1,-9.72,-19.2
1502.11,-9.72,-19.19
1502.12,-9.76,-19.2
1502.13,-9.78,-19.21
1502.14,-9.79,-19.22
1502.15,-9.75,-19.22
1502.16,-9.72,-19.2
1502.17,-9.72,-19.18
1502.18,-9.71,-19.19
1502.19,-9.72,-19.18
1502.2,-9.69,-19.15
1502.21,-9.65,-19.18
1502.22,-9.61,-19.17
1502.23,-9.58,-19.18
1502.24,-9.56,-19.15
1502.25,-9.53,-19.13
1502.26,-9.47,-19.12
1502.27,-9.43,-19.11
1502.28,-9.37,-19.12
1502.29,-9.32,-19.11
1502.3,-9.3,-19.12
1502.31,-9.33,-19.14
1502.32,-9.83,-19.14
